Q,A,,,,
使用单位线上申请是否一定和线下资料申请时使用单位 保持一致?如果想添加使用单位后续如何添加申请 ?,接入单位完成乐企直连后 ，如需新增使用单位 ，只需在乐企平台邀请使用单位 ，填写纳税人信息 ，新增使用单位主管税务 机关审批通过后即可使用乐企能力 ，无需线下再次申请 。,,,,
直连单位是指全集团的年收入还是仅集团控股公司的年 营收收入 ?,乐企直连准入条件都为全集团 ，而非单一纳税人识别号 ，固年收入统计范围为 :全集团。,,,,
选择第三方企业建设 ，是不是上传委托书即可 ，不需要 软著?,自建软著或软件著作权授权目前需要 ，等保测评现在暂不强制要求 。,,,,
企业侧业务系统名称 xxx内部叫xxx发票服务平台 ，实际 是找招采软件供应商实施私有化系统 ，这类是否可以建 设方式选择单位自建 ，上传的供应商产品的软著等信息 。,可以，目前上传软著及授权使用信息即可 。,,,,
客户用的是苍穹版私有云订阅 +资管云私有云订阅 ，未 来计划使用电子档案 、私有云税务和费报 ，发票云如果 用公有云版本 ，会不会有影响 ?,这个都可以 ，私有云订阅即可 。就是星瀚税务比较麻烦 ，最好部署在一起 ，它和发票云数据交换都在数据库层面 。其他都 可以公有云 ，如果不考虑星瀚税务 ，就公有云订阅即可 。,,,,
下单金蝶发票云 (旗舰版)公有云，在开通系统的时 候，能通过打私包的形式部署到客户的私有云服务器 吗?,不行 ，星瀚的许可会限制。,,,,
客户反馈发票私有云 (星瀚收票助手 )无法对通用机打 发票进行抬头校验 ，该如何处理 ?,对于通用机打发票 ，税局没有提供查验接口 ，因此无法进行抬头校验 。金蝶发票云通过 OCR识别通用机打发票 ，但由于 OCR识别存在误差，允许员工手动修改识别结果 。这意味着通用机打发票可以通过手动修改来绕过校验 。,,,,
使用税盘下载发票智慧管家客户端是必须的吗 ?,是的，为了下载发票确认平台上的发票 ，您需要先下载发票智慧管家客户端 。,,,,
发票智慧管家是否支持定时下载功能 ?,目前发票智慧管家的定时下载功能正在开发中 ，后续会上线。,,,,
如何绑定账号让客户能够通过扫码登录到发票智慧管家 租户下 ?,使用微信扫码登录发票智慧管家 ，然后输入激活码进行激活 ，激活完成后 ，该微信账号就会绑定到相应的租户 。,,,,
智慧管家激活码在哪里可以查看 ?,您可以在申请数电票的邮件中找到提供的激活码 。,,,,
登录发票云智慧管家时 ，扫码登录是需要客户的微信去 扫码吗 ?,是的，扫码登录需要客户使用其微信扫码进行登录 。,,,,
如果其他用户扫了扫码登录 ，该怎么办?,您可以在发票云智慧管家的左上角点击租户 ，选择退出，然后重新运行登录即可 。,,,,
在商户运营平台设置的用户权限会同步到我的 EAS 系 统中吗 ?,不会的，商户运营平台设置的用户权限不会同步到 EAS 系统中。,,,,
在商户运营平台中 ，用户和角色的作用是什么 ?,在商户运营平台中 ，用户和角色用于管理收票 、开票等操作 。可以为用户分配不同的权限 ，以便在平台中进行相应的操作 。,,,,
如果在商户运营平台导入用户并为其分配开票人角色 ， 那么该用户是否可以在系统中进行开票操作 ，类似于在 EAS 中授权的效果?,在发票云的管理平台中 ，新增对应的角色后 ，该用户将拥有平台中对应的功能 ，但该权限仅限于发票云平台 ，不会与 EAS 相关联 。,,,,
商户运营平台是否可以用于开票和收票操作 ?,是的，商户运营平台可以用于开票和收票操作 。在平台中可以分配相应的权限 ，进行开票和收票等操作 。,,,,
在商户运营平台合规配置中设置后 ，是否可以随时进行 修改?,是的，可以根据业务需要随时调整合规配置 。,,,,
中度警示在合规配置中有什么影响 ?,中度警示在合规配置中表示在导入数据时出现问题 ，会显示一个叹号提示 。但是正常情况下仍然可以导入数据 。,,,,
合规配置为什么在保存配置后 ，操作仍然显示为已禁 用?,在保存配置后 ，需要手动点击启用按钮才能使操作生效 。默认情况下操作是禁用的 。,,,,
数电票系统是否支持机动车发票 ?,数电票系统目前暂不支持机动车发票 。,,,,
如果需要开具机动车发票 ，应该如何处理 ?,如果需要开具机动车发票 ，可以考虑使用纸质发票 。,,,,
能否通过修改税收分类编码来在数电票系统中开具机动 车发票 ?,在目前的数电票系统中，无法通过修改税收分类编码来开具左上角显示机动车标识的发票 。,,,,
如果我们希望在数电票系统中支持机动车发票 ，应该如 何处理 ?,如果希望在数电票系统中支持机动车发票 ，可以考虑与相关部门进行需求沟通和协商 ，以便在未来的系统升级或改进中加 入该功能 。,,,,
是否有其他方式可以在数电票系统中开具机动车发票 ?,截至目前，暂无其他方式可以在数电票系统中开具左上角显示机动车标识的发票 。建议通过纸质发票进行开具 。,,,,
升级数电发票时时是否需要配置电子税局账号 ?,是的，升级时需要配置电子税局账号 ，让电子税局对应账号的人员进行绑定微信 。,,,,
如何修改电子税局的密码 ?,可以通过电子税局的忘记密码功能进行密码重置 。,,,,
如何安装智慧管家客户端 ?,您可以在以下链接处下载智慧管家客户端 :https://www.piaozone.com/download,,,,
"是否可以同时安装新智慧管家客户端和旧发票云客户
端?",是的，新客户端和旧客户端可以同时安装在同一台电脑上 。,,,,
使用数电票智慧管家如果税盘连接不上 ，会影响纸票信 息和开票数据的下载吗 ?,不会影响纸票信息和开票数据的下载 ，因为数电票的收票和下载操作不依赖于税盘连接 。,,,,
在数电模式下，是否可以在智慧管家中下载开票数据 ?,是的，在数电模式下，您可以在智慧管家中下载开票数据 。,,,,
升级数电发票后 ，是否还可以开具纸质发票 ?,如果税局没有收走税盘并且没有注销 ，可以继续使用税盘里的纸票开具纸质发票 ，具体要以税局政策为准 。,,,,
在升级数电后 ，可以直接从税盘生成纸质发票并打印 吗?,可以的，如果税局开通了全电的开票功能 ，并且税盘仍然存在 ，可以通过税盘直接生成纸质发票并打印 。,,,,
是否可以同时开具全电发票和纸质发票 ?,可以，如果公司已经开通了全电的开票功能 ，同时税盘还在 ，并且ERP连接了金税的全电地址 ，就可以同时开具全电发票 和纸质发票 。,,,,
数电开具的发票是否有导出功能 ?导出的格式是什么 ?,数电开具的发票可以在商户运营平台上进行导出 ，可以导出为Excel或版式文件(PDF格式)。,,,,
升级为数电发票需要准备哪些资料 ?,升级为数电发票需要扫描服务号二维码或在微信搜索 【金蝶发票云】服务号，关注后预约服务并填写申请表 ，然后提交信 息收集表。发票云会发送升级邮件 ，包含客户端下载链接和激活码 。,,,,
在哪里可以导出数电发票的 PDF文件?,导出数电发票的 PDF文件可以在商户运营平台上进行操作 ，具体可以查看相关导出功能 。,,,,
数电发票的开票步骤有变化吗 ?,数电发票的开票步骤与之前的开票步骤没有变化 ，按照之前的流程进行开票即可 。,,,,
开数电发票时是否需要登录电子税务局 ?,在开数电发票时 ，需要登录电子税务局的账户 。绑定了微信后当需要登录时 ，会在微信上进行相应提示 。,,,,
开数电发票时是否需要使用 CA证书登录?,不需要使用CA证书登录，只需按照提示登录相应的账户即可 。,,,,
出现账号权限不足的界面是什么意思 ?,如果出现账号权限不足的界面 ，说明当前登录的账号没有开票权限 ，需要检查账号的权限设置 。,,,,
发票云在哪个环节进行校验重复发票 ?,发票云的合规管理可以配置校验重复发票的功能 。具体的配置操作可以在发票云的商家运营平台上进行 。,,,,
地区编码是指什么 ?是填写邮编吗 ?,地区编码是注册信息中的一个编码 ，不是指填写邮编 。对于航信盘等开票软件 ，登录后右上角会显示地区编码信息 。,,,,
在发票云扫描带入报销单后 ，没有对应的发票类型 ，是 需要打补丁吗 ?,需要根据具体情况判断 。可以提供更详细的 EAS版本号，以便获取相关补丁信息 。具体情况请咨询 ERP的技术支持团队或 查阅相关补丁文档 。,,,,
